FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,2116808,2111862,2132706,2115022,2123650,2118812,2112874,2114576,2109154,2116802,2138992,2147128,2116936,2131916,2142862,2110712,2128318,2131390,2107834,2126932,2108126,2139354,2097550,2079626,2138454
200,2116808,2111862,2113714,2115022,2092186,2110430,2112874,2114576,2102018,2115860,2116446,2135306,2116936,2130494,2120294,2076812,2128318,2114628,2107834,2126932,2108126,2099268,2079830,2079626,2105714
300,2102072,2096994,2113714,2115022,2092186,2108604,2112874,2114576,2087952,2102426,2116446,2105734,2115642,2097836,2120294,2076812,2107766,2114628,2103214,2100988,2092276,2080750,2079830,2079626,2105714
400,2102072,2096994,2083796,2115022,2092186,2104946,2112874,2114576,2087952,2102426,2106428,2105734,2115642,2097836,2120294,2076812,2107766,2101558,2081802,2100988,2092276,2080750,2064012,2076714,2105714
500,2086904,2096994,2083796,2115022,2092186,2104946,2099634,2098412,2060916,2102426,2106428,2084798,2114884,2097682,2120294,2076812,2106152,2101558,2081802,2090678,2092276,2080750,2064012,2071524,2092634
600,2086904,2096994,2083796,2114920,2090796,2101482,2099634,2080354,2060916,2102426,2104050,2084798,2110832,2086814,2119070,2076812,2106152,2089410,2081802,2069294,2089968,2076434,2064012,2071524,2090626
700,2076566,2096994,2083796,2114920,2090796,2101482,2099634,2080354,2060916,2102426,2090450,2084798,2110832,2086814,2113870,2076812,2103324,2089410,2081802,2069294,2089968,2076434,2064012,2071524,2090626
800,2076566,2096994,2083796,2114920,2063044,2101482,2099634,2080354,2060916,2102426,2090450,2084798,2110832,2086814,2113870,2076812,2086826,2089410,2081802,2069294,2089968,2076434,2064012,2071524,2090626
900,2076566,2096994,2083796,2114920,2063044,2066672,2099634,2060664,2060916,2102426,2090450,2084798,2110832,2086814,2077560,2064254,2086530,2089410,2081802,2069294,2089968,2076434,2064012,2071524,2080544
1000,2076566,2096994,2083796,2114920,2063044,2066672,2099634,2060664,2060916,2102426,2090450,2084798,2110832,2086814,2077560,2064254,2086530,2089410,2081802,2069294,2087926,2076434,2064012,2071524,2080544
1100,2072926,2096994,2083796,2114920,2063044,2066672,2099634,2060664,2060916,2102426,2090450,2084618,2108522,2086814,2077560,2064254,2084368,2089410,2081802,2069294,2087926,2073274,2041926,2071524,2080544
1200,2072926,2096994,2083796,2110566,2063044,2066672,2099634,2060664,2050282,2102426,2054252,2084618,2108522,2086814,2077560,2060886,2084368,2089410,2081802,2069294,2087926,2073274,2041926,2071524,2080544
1300,2072926,2096994,2083796,2092918,2055930,2066672,2099634,2060664,2050282,2102426,2054252,2084618,2108522,2086814,2077560,2054322,2084368,2089410,2081802,2069294,2087926,2073274,2041926,2071524,2080544
1400,2072926,2096994,2083796,2092918,2055930,2066672,2099634,2060664,2050282,2102426,2054252,2084618,2108522,2086814,2076336,2054322,2084368,2071236,2081802,2069294,2087926,2073274,2041926,2065946,2080544
1500,2072926,2077170,2083796,2092918,2055930,2066672,2099634,2060664,2050282,2102426,2054252,2084618,2103254,2086814,2076336,2054322,2084368,2071236,2081802,2066222,2087186,2073274,2041926,2065946,2080544
1600,2072926,2077170,2083796,2092918,2055930,2066672,2099634,2060664,2050282,2102426,2054252,2084618,2096512,2086814,2076336,2054322,2084368,2071236,2081802,2066222,2086980,2073274,2041926,2065946,2066510
1700,2072926,2077170,2083796,2092918,2047378,2066672,2093694,2060664,2050282,2102426,2054252,2084618,2096512,2081300,2076336,2054322,2084368,2071236,2081802,2066222,2086980,2073274,2039122,2065946,2066510
1800,2072926,2066380,2083796,2092918,2047378,2066672,2093694,2060664,2050282,2102426,2054252,2084618,2096512,2081300,2076336,2054322,2084368,2061286,2081802,2066222,2086980,2073274,2039122,2065946,2066510
1900,2072006,2066380,2083796,2092918,2047378,2066672,2088144,2060664,2042172,2102426,2054252,2084618,2096512,2081300,2076336,2054322,2084368,2061286,2081802,2066222,2086980,2073274,2039122,2042900,2066510
2000,2068036,2066380,2083796,2092918,2047378,2066672,2088144,2058608,2042172,2102426,2039068,2084618,2096512,2081300,2076336,2054322,2084368,2061286,2081802,2066222,2086980,2073274,2039122,2042900,2066510
2100,2068036,2066380,2083796,2092918,2047378,2066672,2083160,2058608,2042172,2099872,2039068,2080254,2079074,2081300,2076336,2054322,2084368,2049156,2081802,2066222,2086980,2073274,2039122,2042900,2066510
2200,2068036,2066380,2083796,2092918,2047378,2066672,2083160,2058608,2042172,2099872,2039068,2080254,2079074,2081300,2076336,2054322,2084368,2049156,2081802,2066222,2071482,2073274,2039122,2042900,2066510
2300,2068036,2066380,2083796,2092918,2047378,2066672,2083160,2058608,2040484,2099872,2039068,2080254,2079074,2081300,2076336,2054322,2084368,2049156,2081802,2066222,2071482,2073274,2039122,2042900,2066510
2400,2068036,2066380,2083796,2092918,2047378,2066672,2083160,2058608,2040484,2099872,2039068,2080254,2079074,2081300,2076336,2054322,2084368,2049156,2081802,2066222,2052984,2073274,2039122,2042900,2066510
2500,2068036,2066380,2083796,2088268,2047378,2066672,2083160,2058608,2040484,2099872,2039068,2080254,2079074,2080220,2076336,2054322,2084368,2049156,2081802,2054888,2052984,2073274,2039122,2042900,2066510
2600,2068036,2066380,2083796,2073542,2047378,2066672,2083160,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2054322,2084368,2049156,2078284,2054888,2052984,2073274,2039122,2042900,2066510
2700,2068036,2066380,2083796,2073542,2047378,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2054322,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
2800,2068036,2066380,2083796,2073542,2039376,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2054322,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
2900,2068036,2066380,2083796,2073542,2039376,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2048736,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
3000,2068036,2049366,2083796,2073542,2036992,2056980,2081298,2056474,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3100,2068036,2049366,2083796,2061792,2036992,2056980,2081298,2056474,2040484,2083134,2039068,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3200,2068036,2049366,2083796,2059600,2036992,2056980,2081298,2056474,2040484,2083134,2028662,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3300,2068036,2049366,2083796,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3400,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2066510
3500,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
3600,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2067756,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
