FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,455282,452020,447778,446726,452088,451602,455542,449086,453104,452168,444256,459722,456302,450786,455172,456468,449136,446386,458708,452330,442414,451522,449214,449706,446744
200,448390,452020,447778,433274,438886,444286,452602,448036,453104,447876,444256,444438,456302,449014,439622,454528,449136,433336,453378,452330,442414,451522,449214,449706,440688
300,440130,440178,447778,433274,435090,438462,446490,448036,436508,440904,444256,444438,446850,449014,439622,439772,448690,433336,428044,452330,442414,451522,449214,448686,440688
400,440130,436218,443794,433274,435090,434382,446490,427006,436388,440904,444256,444438,442926,442066,439622,439772,448690,433336,428044,451178,442414,451522,449214,448686,440688
500,434296,436218,443794,433274,435090,434382,446490,427006,436388,440904,444256,430614,442926,442066,439622,439772,431694,433336,427134,439708,442414,451522,449214,448686,440688
600,434296,436218,443794,433038,435090,434382,439132,427006,436388,440904,444256,430614,429968,442066,439002,439772,431694,433336,427134,439708,442414,447836,448184,448210,440688
700,434296,436218,436982,433038,435090,434382,439132,427006,436388,440904,444256,430614,429968,442066,439002,439772,431694,433336,427134,439708,442414,441550,448184,448210,440688
800,434296,436218,436982,433038,435090,434382,439132,427006,436388,440904,444256,430614,428872,435192,437804,439772,431694,432706,427134,439708,442414,441550,448184,448210,440688
900,434296,436218,436982,428410,435090,434382,439132,427006,436388,440904,444256,430614,428872,435192,437804,439772,431694,432706,427134,439708,442414,441550,447016,448210,440688
1000,434296,436218,436982,428410,435090,433306,439132,427006,436388,436560,444256,430614,428872,435192,437804,437120,431694,432706,427134,439708,437310,441550,446066,448210,440688
1100,434296,419984,436982,428410,435090,433306,439132,427006,436388,436560,444256,430614,428872,435192,437804,437120,431694,432706,427134,439708,437310,441550,446066,439876,440688
1200,434296,419984,436982,428410,435090,433306,439132,427006,436388,433750,444256,430614,428872,435192,437804,437120,431694,432706,427134,439708,437310,429068,446066,439876,440688
