FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,457460,453208,454584,446946,441636,447824,460622,449930,448520,454380,450870,432310,438630,459048,461342,450220,454236,456008,453394,464562,449490,467606,446502,452250,459838
200,441280,449794,431794,446946,441636,447824,436116,449930,448520,454380,445242,432310,438630,457724,452176,450220,454236,450964,451842,452016,449490,456594,446502,452250,447432
300,441280,445928,431794,446946,441636,446102,436116,443478,448520,451698,445242,432310,438630,450792,452176,444016,454236,450964,451842,442334,449490,454988,446502,452250,447432
400,441280,445928,431794,446268,441636,446102,436116,443478,437402,435112,445242,432310,438630,446554,452176,444016,444446,447868,442630,442334,449490,448912,438368,452250,444034
500,441280,445928,431794,446268,439598,445740,436116,443478,437402,435112,445242,432310,438630,444248,452176,444016,444446,440816,442630,441514,446350,448912,438368,450280,444034
600,441280,445928,431794,446268,439598,445740,436116,443478,437402,435112,445242,432310,438630,444248,432082,444016,444446,440816,438424,441514,437554,448912,438368,450280,444034
700,441280,445928,431794,442168,439598,445740,436116,436776,437402,435112,445242,432310,438630,444248,432082,444016,444446,440816,438424,441514,437554,448912,438368,450280,444034
800,441280,445928,431794,442168,439598,445740,436116,436776,437402,435112,445242,432310,438630,444248,432082,444016,444446,440816,438424,441514,437554,448912,432976,445748,444034
900,434056,445928,431794,440482,439598,441904,436116,436776,437402,435112,442212,432310,438630,444248,432082,443524,442608,422614,438424,441514,437554,448912,432976,445748,442398
1000,434056,445928,431794,440482,439598,441904,436116,436776,437402,435112,442212,432310,438630,444248,432082,443524,442608,422614,438424,441514,437554,448912,432976,445748,442398
1100,434056,445928,431794,440482,439598,441904,436116,436776,437402,435112,432196,432310,438630,444248,432082,443524,442288,422614,438424,441514,437554,448912,432976,445748,442398
1200,434056,440446,431794,435302,439598,441904,436116,436776,437402,435112,432196,432310,438630,437932,432082,443524,442288,422614,438424,441514,437554,448912,432976,445748,442398
1300,434056,440446,413292,435302,434400,441904,436116,436776,437402,435112,432196,432310,438630,437932,432082,438046,442288,422614,438424,441514,437554,447722,432976,445748,434166
1400,434056,440446,413292,435302,434400,441904,436116,436776,437402,428890,432196,432310,438630,437932,432082,438046,437056,422614,438424,441514,437554,447722,432976,445748,430398
1500,433340,440446,413292,435302,434400,440888,436116,436776,437402,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
1600,433340,440446,413292,435302,423928,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
1700,433340,426286,413292,435302,423928,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
1800,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
1900,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
2000,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,441514,436242,434622,432976,445748,430398
2100,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,426852,436242,434622,432192,445748,430398
2200,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,438630,437880,432082,438046,437056,422614,438424,426852,436242,434622,432192,445748,430398
2300,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,432330,437880,432082,438046,435852,422614,438424,426852,436242,434622,432192,445748,430398
2400,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,438424,426852,436242,434622,432192,436672,430398
2500,433340,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
2600,430336,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
2700,430336,426286,413292,435302,420656,440888,436116,436776,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
2800,430336,426286,413292,435302,420656,440888,436116,433048,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
2900,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
3000,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,432310,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
3100,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
3200,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
3300,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,437880,432082,436384,435852,422614,436468,426852,436242,434622,432192,436672,430398
3400,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,437880,432082,436384,428338,422614,436010,426852,436242,434622,432192,436672,430398
3500,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,437880,432082,436384,428338,422614,436010,426852,436242,434622,432192,436672,430398
3600,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,435328,432082,436384,428338,422614,436010,426852,436242,434622,432192,436672,430398
3700,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,422614,436010,426852,436242,434622,432192,436672,430398
3800,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,422614,436010,426852,436242,434622,432192,436672,430398
3900,430336,426286,413292,435302,419998,440888,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4000,430336,426286,413292,435302,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4100,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4200,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4300,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4400,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4500,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4600,430336,426286,413292,431660,417182,438584,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4700,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4800,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
4900,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
5000,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
5100,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,432192,436672,430398
5200,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,431982,436672,430398
5300,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,431982,436672,430398
5400,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,431982,436672,430398
5500,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,431982,436672,430398
5600,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,431982,436672,430398
5700,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,436384,428338,419312,436010,426852,436242,434622,427084,436672,430398
5800,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,431504,428338,419312,436010,426852,436242,434622,427084,436672,430398
5900,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,432196,430908,432330,435328,431072,431504,428338,419312,436010,426852,436242,434622,427084,436672,430398
6000,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,429800,430908,432330,435328,431072,431504,428338,419312,436010,426852,435264,434622,427084,429528,430398
6100,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,429800,430908,432330,435328,431072,431504,428338,419312,436010,426852,435264,434622,427084,429528,430398
6200,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434622,427084,429528,430398
6300,430336,426286,413292,431660,417182,436486,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434622,427084,429528,430398
6400,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
6500,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
6600,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
6700,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
6800,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
6900,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7000,430336,426286,413292,431660,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7100,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,435328,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7200,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7300,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7400,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7500,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7600,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7700,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7800,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
7900,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
8000,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
8100,430336,426286,413292,428502,417182,435424,436116,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434278,427084,429528,430398
8200,430336,426286,413292,428502,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,427084,429528,430398
8300,430336,426286,413292,428502,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8400,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8500,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8600,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8700,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8800,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
8900,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
9000,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,435264,434214,424568,429528,430398
9100,430336,426286,413292,427974,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,430592,434214,424568,429528,430398
9200,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,430592,434214,424568,429528,430398
9300,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,430592,434214,424568,419700,430398
9400,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,430592,434214,424568,419700,430398
9500,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,431072,430630,428338,419312,436010,426852,430592,434214,424568,419700,430398
9600,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,426700,430630,428338,419312,436010,426852,430592,434214,424568,419700,430398
9700,430336,426286,413292,425584,417182,435424,427730,433048,432112,428890,429800,430908,432330,434192,426700,430630,428338,419312,436010,426852,430592,434214,424568,419700,430398
