FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,440930,441018,437310,450746,433464,440442,450578,434276,441830,443662,437028,455642,422488,416112,415366,444564,453686,446042,446096,432252,447658,447972,437544,446514,443840
200,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
300,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
400,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
500,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
600,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
700,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
800,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
900,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
1000,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
1100,440930,438262,437310,450728,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447972,433016,446040,443840
1200,440930,424282,437310,447966,433464,440142,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447226,433016,444522,440834
1300,432166,424282,437310,447966,433464,433276,435634,434276,441830,442630,437028,444018,422488,416112,415366,444564,440308,446042,442994,432252,441624,447226,433016,434476,440834
1400,432166,424282,437310,445724,433464,433276,435634,434276,439792,442630,437028,441050,422488,416112,415366,444564,440308,446042,434596,432252,441624,447226,433016,434476,440834
1500,432166,424282,437310,445724,433464,433276,435634,434276,439792,442630,437028,441050,422488,416112,415366,444564,440308,435762,434596,432252,441624,447226,433016,434476,440834
1600,432166,424282,437310,445724,433464,433276,435634,434276,439792,442630,437028,441050,422488,416112,415366,444564,440308,435762,434596,432252,441624,447226,433016,434476,439628
1700,432166,424282,437310,427206,433464,433276,435634,434276,439792,433348,437028,441050,422488,416112,415366,444564,440308,435762,434596,432252,441624,447226,433016,434476,437932
1800,432166,424282,431458,427206,433464,433276,435634,434276,439792,433348,437028,441050,422488,416112,415366,444564,440308,435762,434596,432252,441624,443614,433016,434476,437932
1900,432166,424282,431458,427206,433464,433276,435634,434276,439792,433348,437028,441050,422488,416112,415366,444564,440308,435762,434596,432252,441624,443614,433016,434476,437932
2000,432166,424282,431458,427206,433464,433276,435634,434276,439792,433348,437028,436796,422488,416112,415366,444564,429380,435762,434596,432252,441624,442452,433016,434476,437932
2100,432166,424282,431458,427206,433464,433276,435634,434276,439792,433348,437028,436796,422488,416112,415366,444564,429380,435762,434596,432252,441624,442452,433016,434476,437932
2200,432166,424282,431458,426432,433464,433276,435634,434276,439792,433348,437028,436796,422488,416112,415366,438066,429380,435762,434596,432252,441624,442452,433016,434476,437932
2300,432166,424282,431458,426432,433464,433276,435634,434276,439792,432364,437028,436796,422488,416112,415366,430670,429380,435762,434596,432252,441624,439980,433016,434476,437932
2400,432166,424282,431458,426432,433464,433276,435634,434276,439792,432364,437028,436796,422488,416112,415366,430670,429380,435762,434596,432252,441624,439980,433016,434476,437932
2500,432166,424282,431458,426432,433464,433276,435634,434276,439792,432364,437028,436796,422488,416112,415366,430670,429380,435762,434596,432252,441624,439980,433016,434476,437932
