FE,Fitness
1000,2104924
2000,2104924
3000,2104924
4000,2104924
5000,2104924
6000,2104924
7000,2104924
8000,2104924
9000,2104924
10000,2104924
11000,2104924
12000,2104924
13000,2104924
14000,2104924
15000,2104924
16000,2104924
17000,2104924
18000,2104924
19000,2104924
20000,2104924
21000,2104924
22000,2104924
23000,2104924
24000,2104924
25000,2104924
26000,2104924
27000,2104924
28000,2104924
29000,2104924
30000,2104924
31000,2104924
32000,2104924
33000,2104924
34000,2104924
35000,2104924
36000,2104924
37000,2104924
38000,2104924
39000,2104924
40000,2104924
41000,2104924
42000,2104924
43000,2104924
